LIST,name,COMPANY_NAME,RDIST_LABEL,state,SITE,PADD,PRODUCT,SUPPLY,QUANTITY,Company_ID,Location_ID,Year,TYPE,Throughput_ID,Facility_ID,CITY
92,Corn Plus,Corn Plus,,Minnesota,Winnebago,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,92,213,2020,Ethanol,1836,213,Winnebago
93,Crimson Renewable Energy LP,Crimson Renewable Energy LP,,California,0,5,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,93,214,2020,Biodiesel,1837,214,0
94,Dakota Ethanol Llc,Dakota Ethanol Llc,,South Dakota,Wentworth,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),6,94,215,2020,Ethanol,1838,215,Wentworth
95,Dakota Spirit Agenergy,Dakota Spirit Agenergy,,North Dakota,Spiritwood,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,95,216,2020,Ethanol,1839,216,Spiritwood
96,Deerfield Energy LLC,Deerfield Energy LLC,,Missouri,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),3,96,217,2020,Biodiesel,1840,217,0
97,Denco Ii Llc,Denco Ii Llc,,Minnesota,Morris,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),2,97,218,2020,Ethanol,1841,218,Morris
98,Diamond Ethanol Llc,Diamond Ethanol Llc,,Texas,Levelland,3,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,98,219,2020,Ethanol,1842,219,Levelland
99,Didion Ethanol Llc,Didion Ethanol Llc,,Wisconsin,Johnson Creek,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,99,220,2020,Ethanol,1843,220,Johnson Creek
100,Duonix Beatrice LP,Duonix Beatrice LP,,Nebraska,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),3,100,221,2020,Biodiesel,1844,221,0
101,E Energy Adams Llc,E Energy Adams Llc,,Nebraska,Adams,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),7,101,222,2020,Ethanol,1845,222,Adams
102,East Kansas Agri-Energy Llc,East Kansas Agri-Energy Llc,,Kansas,Garnett,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,102,223,2020,Ethanol,1846,223,Garnett
103,Element Llc,Element Llc,,Kansas,Colwich,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,103,224,2020,Ethanol,1847,224,Colwich
104,Elite Octane Llc,Elite Octane Llc,,Iowa,Elite Octane Llc,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),10,104,225,2020,Ethanol,1848,225,Elite Octane Llc
105,Elkhorn Valley Ethanol,Elkhorn Valley Ethanol,,Nebraska,Elkhorn,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,105,226,2020,Ethanol,1849,226,Elkhorn
106,Fox River Valley Ethanol Llc,Fox River Valley Ethanol Llc,,Wisconsin,Fox River Valley Ethanol Llc,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,106,227,2020,Ethanol,1850,227,Fox River Valley Ethanol Llc
